id,predicted_rf
0.0,0.6998412698412699
2.0,0.5163848582961904
4.0,0.25942932621191156
7.0,0.4548048048048048
15.0,0.38975238095238096
26.0,0.21100000000000002
44.0,0.5165143096430245
45.0,0.19081592039800996
57.0,0.7997155836460595
66.0,0.060207253886010365
77.0,0.38427313867838064
79.0,0.5390088115545781
86.0,0.4512854099305712
89.0,0.32270270270270274
90.0,0.4575
105.0,0.0
120.0,0.01
123.0,0.1442548076923077
125.0,0.8952389603343802
129.0,0.38
143.0,0.10170868347338935
151.0,0.2328659638554217
153.0,0.13317521091696846
154.0,0.7897222222222223
157.0,0.3204666666666667
167.0,0.17402071273770453
170.0,0.29261097945722314
171.0,0.2346519789961499
177.0,0.5833167388167388
181.0,0.6152161319073084
187.0,0.39633333333333326
193.0,0.06293949679435376
194.0,0.2357776125314713
199.0,0.55
201.0,0.29
212.0,0.709319601476819
219.0,0.44727272727272727
220.0,0.1639689076680935
222.0,0.32
224.0,0.5202702702702703
225.0,0.7892100265353794
227.0,0.17485227428063937
232.0,0.07399850488166287
247.0,0.0
248.0,0.5886567164179105
262.0,0.37266803437538465
269.0,0.08
272.0,0.6081595091581973
278.0,0.7496428571428573
290.0,0.4349846083583936
291.0,0.14
296.0,0.06139084507042254
307.0,0.5719844526309728
309.0,0.02
310.0,0.5220509519568001
316.0,0.13238324612163277
324.0,0.8063657616892911
326.0,0.11142857142857142
341.0,0.19213710357483169
365.0,0.7
371.0,0.22841758773237253
376.0,0.4646073062887856
380.0,0.1
388.0,0.13555134205437894
389.0,0.16150441872554652
412.0,0.5608898809523809
413.0,0.6516500596540985
416.0,0.41540925412236085
420.0,0.33
427.0,0.12800661962151325
429.0,0.6161904761904762
446.0,0.11073471529782211
448.0,0.0628719364256929
454.0,0.4177272727272727
466.0,0.27511864202100705
472.0,0.11
502.0,0.1786846088594056
511.0,0.4607113775113775
520.0,0.29159244534271844
530.0,0.5215498345740281
541.0,0.3720745920745921
544.0,0.5839992066750345
547.0,0.4864738809620355
548.0,0.10048611111111111
557.0,0.57
561.0,0.199630589035377
563.0,0.395625
572.0,0.31
581.0,0.849370171277389
583.0,0.545777027027027
587.0,0.3794942528735632
588.0,0.0
591.0,0.152924036040684
640.0,0.39
649.0,0.543684476342371
656.0,0.595900175669741
675.0,0.5614942528735632
688.0,0.09
