id,predicted_knn
0.0,0.4
2.0,0.2
4.0,0.0
7.0,0.2
15.0,0.0
26.0,0.2
44.0,0.0
45.0,0.2
57.0,0.2
66.0,0.2
77.0,0.0
79.0,0.0
86.0,0.0
89.0,0.6
90.0,0.2
105.0,0.0
120.0,0.0
123.0,0.0
125.0,0.8
129.0,0.0
143.0,0.0
151.0,0.0
153.0,0.2
154.0,0.8
157.0,0.2
167.0,0.0
170.0,0.0
171.0,0.0
177.0,0.2
181.0,0.8
187.0,0.0
193.0,0.2
194.0,0.2
199.0,0.6
201.0,0.0
212.0,0.8
219.0,0.0
220.0,0.0
222.0,0.2
224.0,0.4
225.0,0.6
227.0,0.0
232.0,0.0
247.0,0.0
248.0,0.2
262.0,0.0
269.0,0.4
272.0,0.6
278.0,0.4
290.0,0.0
291.0,0.0
296.0,0.2
307.0,0.0
309.0,0.0
310.0,0.0
316.0,0.4
324.0,0.6
326.0,0.0
341.0,0.2
365.0,0.2
371.0,0.2
376.0,0.6
380.0,0.4
388.0,0.2
389.0,0.0
412.0,0.6
413.0,0.8
416.0,0.0
420.0,0.0
427.0,0.0
429.0,0.2
446.0,0.0
448.0,0.2
454.0,0.0
466.0,0.4
472.0,0.0
502.0,0.2
511.0,0.0
520.0,0.2
530.0,0.0
541.0,0.2
544.0,0.4
547.0,0.0
548.0,0.0
557.0,0.8
561.0,0.0
563.0,0.0
572.0,0.2
581.0,0.6
583.0,0.4
587.0,0.4
588.0,0.0
591.0,0.6
640.0,0.0
649.0,0.4
656.0,0.4
675.0,0.4
688.0,0.2
708.0,0.0
729.0,0.2
735.0,0.2
744.0,0.0
748.0,0.2
751.0,0.0
756.0,0.0
762.0,0.2
764.0,0.8
773.0,0.0
779.0,0.0
791.0,1.0
802.0,0.2
805.0,0.0
807.0,0.0
819.0,0.2
828.0,0.0
831.0,0.0
836.0,0.6
845.0,0.6
859.0,0.8
869.0,0.4
874.0,0.0
875.0,0.0
877.0,0.4
885.0,0.0
899.0,0.0
901.0,0.0
902.0,0.2
912.0,0.2
916.0,0.0
932.0,0.0
934.0,0.4
942.0,0.0
946.0,0.4
972.0,0.6
1006.0,0.0
1019.0,0.2
1045.0,0.0
1046.0,0.8
1054.0,0.0
1075.0,0.2
1076.0,0.0
1086.0,0.0
1091.0,0.2
1093.0,0.0
1097.0,0.2
1101.0,0.2
1127.0,0.8
1137.0,0.0
1145.0,0.8
1157.0,0.2
1197.0,1.0
1209.0,0.0
1212.0,1.0
1219.0,0.2
1231.0,0.2
1260.0,0.6
1262.0,0.6
1263.0,0.2
1275.0,0.2
1282.0,0.0
1284.0,0.2
1286.0,1.0
1288.0,0.0
1309.0,0.4
1327.0,0.6
1329.0,0.0
1330.0,0.4
1340.0,0.2
1353.0,0.0
1358.0,0.0
1367.0,0.4
1373.0,0.0
1386.0,0.2
1388.0,0.0
1397.0,0.0
1413.0,0.0
1432.0,0.2
1443.0,0.4
1445.0,0.2
1458.0,0.0
1473.0,0.0
1475.0,0.0
1480.0,0.6
1489.0,0.2
1535.0,0.2
1539.0,0.4
1541.0,0.8
1543.0,0.0
1546.0,0.0
1567.0,0.8
1592.0,0.6
1599.0,0.0
1606.0,0.2
1620.0,0.4
1622.0,0.4
1635.0,0.0
1652.0,0.4
1659.0,0.2
1660.0,0.0
1665.0,0.0
1686.0,0.2
1717.0,0.4
1740.0,0.4
1751.0,0.2
1758.0,0.2
1793.0,0.4
1807.0,0.2
1811.0,0.0
1812.0,0.0
1820.0,0.8
1824.0,0.2
1837.0,0.0
1842.0,0.2
1853.0,0.4
1860.0,0.0
1866.0,0.2
1869.0,0.0
1874.0,0.0
1876.0,0.2
1894.0,0.0
1898.0,0.6
1902.0,0.6
1908.0,0.4
1913.0,0.0
1921.0,0.6
1924.0,0.2
1937.0,0.2
1946.0,0.0
1949.0,0.4
1963.0,0.6
1964.0,0.6
1972.0,0.4
1978.0,0.8
1979.0,0.0
1981.0,0.2
1982.0,0.0
2013.0,0.2
2016.0,1.0
2021.0,0.4
2024.0,0.2
2036.0,0.0
2037.0,0.0
2049.0,0.2
2061.0,0.0
2081.0,0.0
2082.0,0.0
2102.0,0.0
2105.0,0.0
2114.0,0.6
2115.0,0.0
2118.0,0.2
2152.0,0.6
2153.0,0.0
2170.0,0.2
2177.0,0.0
2190.0,0.2
2203.0,0.2
2213.0,0.0
2218.0,0.6
2221.0,0.0
2226.0,0.0
2246.0,0.2
2250.0,0.2
2257.0,1.0
2264.0,0.8
2286.0,0.2
2294.0,0.0
2296.0,0.2
2301.0,0.0
2305.0,0.0
2319.0,0.0
2334.0,0.2
2353.0,0.0
2356.0,0.2
2398.0,0.2
2430.0,0.8
2438.0,0.0
2459.0,0.0
2463.0,0.4
2464.0,0.2
2466.0,0.0
2473.0,0.2
2474.0,0.0
2482.0,0.0
2483.0,0.0
2489.0,0.0
2514.0,0.0
2523.0,0.2
2530.0,0.4
2531.0,0.0
2535.0,0.6
2537.0,0.2
2595.0,0.0
2597.0,0.6
2632.0,0.2
2635.0,0.0
2644.0,0.0
2645.0,0.2
2672.0,0.0
2678.0,0.0
2687.0,0.0
2706.0,0.4
2710.0,0.6
2715.0,0.2
2733.0,0.0
2800.0,0.0
2802.0,0.0
2805.0,0.0
2808.0,0.0
2821.0,0.2
2829.0,0.8
2841.0,0.0
2878.0,0.0
2880.0,0.0
2896.0,1.0
2902.0,0.2
2905.0,0.0
2908.0,0.2
2910.0,0.4
2927.0,0.2
2929.0,0.0
2934.0,0.4
2941.0,0.0
2958.0,0.2
2975.0,0.6
2980.0,0.0
2982.0,0.2
2988.0,0.8
3002.0,0.0
3032.0,0.0
3056.0,0.4
3073.0,0.6
3078.0,1.0
3087.0,0.2
3099.0,0.2
3105.0,0.0
3114.0,0.4
3127.0,0.0
3132.0,0.2
3138.0,0.8
3142.0,0.0
3148.0,0.0
3149.0,0.8
3157.0,0.2
3162.0,0.2
3174.0,1.0
3175.0,0.2
3180.0,0.6
3197.0,0.4
3199.0,0.2
3204.0,0.2
3205.0,0.0
3208.0,0.2
3221.0,0.0
3223.0,0.2
3235.0,0.4
3238.0,0.0
3259.0,0.0
3279.0,0.2
3297.0,0.4
3302.0,0.6
3310.0,0.0
3312.0,0.2
3320.0,0.0
3327.0,0.2
3332.0,0.4
3337.0,0.4
3369.0,0.0
3374.0,0.2
3375.0,0.2
3389.0,0.2
3392.0,0.2
3406.0,0.2
3441.0,0.0
3442.0,0.4
3443.0,0.0
3446.0,0.0
3449.0,0.2
3451.0,0.8
3456.0,0.8
3472.0,0.0
3493.0,0.0
3503.0,0.2
3513.0,0.2
3515.0,0.8
3532.0,0.0
3553.0,0.2
3560.0,0.0
3580.0,0.2
3587.0,0.0
3588.0,0.0
3603.0,0.4
3605.0,0.0
3608.0,0.0
3610.0,0.4
3615.0,0.2
3617.0,0.2
3631.0,0.2
3633.0,0.2
3636.0,0.4
3639.0,0.2
3648.0,0.6
3653.0,0.8
3655.0,0.8
3659.0,0.2
3667.0,0.0
3668.0,0.8
3671.0,0.8
3673.0,0.0
3685.0,0.0
3691.0,0.6
3700.0,0.2
3707.0,0.0
3717.0,0.2
3726.0,0.4
3736.0,0.6
3778.0,0.2
3792.0,0.0
3801.0,0.2
3844.0,1.0
3860.0,0.0
3865.0,0.6
3867.0,0.4
3877.0,0.4
3878.0,0.2
3887.0,0.0
3893.0,0.2
3908.0,0.6
3916.0,0.0
3926.0,0.4
3929.0,0.2
3932.0,0.0
3936.0,0.0
3939.0,0.6
3941.0,0.0
3954.0,0.0
3957.0,0.2
3977.0,0.0
3983.0,0.0
4001.0,0.2
4006.0,0.2
4019.0,0.4
4046.0,0.2
4051.0,0.0
4058.0,0.2
4068.0,0.2
4147.0,0.2
4152.0,0.0
4153.0,0.2
4156.0,0.2
4163.0,0.8
4165.0,0.6
4167.0,0.8
4175.0,0.0
4178.0,0.2
4190.0,0.2
4205.0,0.4
4207.0,0.8
4214.0,0.6
4224.0,0.0
4252.0,0.2
4255.0,0.0
4273.0,0.0
4293.0,0.0
4299.0,0.0
4310.0,0.4
4317.0,0.4
4324.0,0.6
4348.0,0.4
4349.0,0.2
4351.0,0.0
4353.0,0.2
4355.0,0.0
4365.0,0.6
4373.0,0.2
4379.0,0.6
4391.0,0.0
4396.0,0.6
4413.0,0.6
4416.0,0.0
4429.0,0.0
4436.0,0.2
4437.0,0.2
4450.0,0.2
4454.0,0.0
4463.0,0.2
4465.0,1.0
4485.0,0.0
4488.0,0.0
4495.0,0.8
4503.0,0.2
4510.0,0.4
4523.0,0.0
4537.0,0.2
4541.0,0.0
4546.0,0.0
4547.0,0.0
4557.0,0.2
4558.0,0.2
4568.0,0.8
4571.0,0.0
4576.0,0.0
4584.0,0.6
4588.0,0.0
4595.0,0.6
4601.0,1.0
4617.0,0.0
4618.0,0.0
4624.0,0.6
