id,predicted_lgbm,predicted_cat,predicted,predicted_bern,predicted_logreg,predicted_rf,predicted_svc,predicted_knn
0,0.9213290447064444,0.9547867288368156,0.94741195,0.9638130235219988,0.871902877398951,0.6998412698412699,1.0,0.4
2,0.754274399956567,0.8486471276386858,0.6248345,0.8179026769647467,0.8128422385614298,0.5163848582961904,0.0,0.2
4,0.4066998448814499,0.5961879766388662,0.28196755,0.5348263389696252,0.2634003368622903,0.2594293262119115,0.0,0.0
7,0.6805985936089439,0.6801186944254138,0.4535161,0.7084205581222945,0.5372606384940769,0.4548048048048048,0.0,0.2
15,0.47937280484641,0.6039289009740489,0.36172268,0.8593024898394178,0.5911591795222788,0.3897523809523809,0.0,0.0
26,0.0834254957198038,0.1938503497047889,0.23373996,0.0023918241229217,0.0179328194133316,0.211,0.0,0.2
44,0.7767243860754788,0.8766072844099874,0.6592122,0.8266153137695674,0.7897728510512487,0.5165143096430245,0.0,0.0
45,0.0324092863119587,0.1017354665847863,0.1788294,0.0020906216183622,0.0146428171867,0.1908159203980099,0.0,0.2
57,0.9334411133426996,0.9754692698799886,0.6572068,0.8066471879577736,0.90099740741837,0.7997155836460595,1.0,0.2
66,0.0382985488874653,0.0451944391050087,0.04847086,0.0036149432809495,0.0186684305587536,0.0602072538860103,0.0,0.2
77,0.6205822159814645,0.5068058519658978,0.4217963,0.898091120813238,0.5427730652612114,0.3842731386783806,0.0,0.0
79,0.8204075174570444,0.8873809769546388,0.60504824,0.9479399945469036,0.704882046206546,0.5390088115545781,0.0,0.0
86,0.6567819057001406,0.7677710315745054,0.7318454,0.92589790825268,0.7257518262613355,0.4512854099305712,0.0,0.0
89,0.4380653838785348,0.4578982543359141,0.5098414,0.4062596251983288,0.2406141618856198,0.3227027027027027,1.0,0.6
90,0.6080534955693858,0.5195108146772928,0.45479074,0.4428133883531815,0.2390142767006156,0.4575,0.0,0.2
105,0.0105528568753367,0.0195631534403559,0.002759071,3.769091017027572e-11,0.0079498181516444,0.0,0.0,0.0
120,0.00960418501367,0.0079678073223896,-0.06374911,1.1374678796818988e-12,0.0009863152571859,0.01,0.0,0.0
123,0.0630940147245206,0.1361332684727007,0.16286583,0.0161523128078878,0.0632934067768822,0.1442548076923077,0.0,0.0
125,0.965867230245686,0.9821099347680776,1.0257393,0.8845686398964058,0.8877238749695417,0.8952389603343802,1.0,0.8
129,0.6041002705736758,0.6930131100064115,0.4426192,0.0013356675322518,0.6597663957236986,0.38,0.0,0.0
143,0.0244446250687763,0.0160544320102781,0.090382315,0.0011018555939289,0.003155245771958,0.1017086834733893,0.0,0.0
151,0.1727531345462335,0.2079794001884429,0.11333435,0.4180783759660768,0.1052702152228616,0.2328659638554217,0.0,0.0
153,0.1492446281827119,0.2469235943363338,0.08410054,0.3261815228903151,0.2340480575263913,0.1331752109169684,0.0,0.2
154,0.9452472551370774,0.9706666139014096,0.88755953,0.909799688965104,0.7782362595744347,0.7897222222222223,1.0,0.8
157,0.5554560450476003,0.5510938470780828,0.3861599,0.5028083825051904,0.5201038089541369,0.3204666666666667,0.0,0.2
167,0.0950593042900474,0.0834831833791669,0.075972974,0.5907387215739826,0.182145250054923,0.1740207127377045,0.0,0.0
170,0.206804344935491,0.4225470185230918,0.065592684,0.5940555499352224,0.1141879156402706,0.2926109794572231,0.0,0.0
171,0.1969411162404015,0.2591465048312407,0.111388825,0.6758885510195967,0.1152258238025642,0.2346519789961499,0.0,0.0
177,0.7858542896489027,0.8682855154718471,0.5656669,0.9479399945469036,0.8527518990350605,0.5833167388167388,0.0,0.2
181,0.7364966725564385,0.890406262476007,0.7333027,0.9085470862732145,0.950748085944829,0.6152161319073084,0.0,0.8
187,0.6891240946684364,0.7892315896547455,0.55846834,0.8887785615936384,0.8472523138662759,0.3963333333333332,0.0,0.0
193,0.0575470522424289,0.0753211687711472,0.010173681,0.0001088940965426,0.0401306110854648,0.0629394967943537,0.0,0.2
194,0.1392785111125298,0.1576941582783623,0.06885582,0.264568064139652,0.099201082373722,0.2357776125314713,0.0,0.2
199,0.8710789078221567,0.8664477918162642,0.5847648,0.767365826577064,0.8251302196844064,0.55,1.0,0.6
201,0.4733051267929007,0.5894795521193097,0.35425738,0.6956977600641411,0.3607753636501304,0.29,0.0,0.0
212,0.9352663137580328,0.9413485978806098,0.9284296,0.672230295084184,0.3664276572411165,0.709319601476819,1.0,0.8
219,0.5691805466328962,0.5604141123715173,0.44205362,0.682575738854705,0.6113760291420665,0.4472727272727272,0.0,0.0
220,0.2566867324883271,0.2975578335923649,0.09788389,0.3148481314583563,0.1035940169001311,0.1639689076680935,0.0,0.0
222,0.6608828249605212,0.7940399507042324,0.39739913,2.007444182212837e-08,0.1974414420251284,0.32,0.0,0.2
224,0.7910998868080708,0.7965890917921149,0.62127835,0.3270533686488485,0.3006676688841501,0.5202702702702703,0.0,0.4
225,0.938520833206866,0.948863748617874,0.6548305,0.8961598649322245,0.9044351854259332,0.7892100265353794,1.0,0.6
227,0.1298923936672349,0.1950237502141214,0.04999677,0.0088444356284649,0.0294476004068658,0.1748522742806393,0.0,0.0
232,0.0667243724273697,0.1849428162786319,0.07617731,0.6482607271362062,0.0955245715179719,0.0739985048816628,0.0,0.0
247,0.0222397879711574,0.0329815791368111,0.021082591,1.4298325473626445e-12,0.0024388934963426,0.0,0.0,0.0
248,0.7695382941290859,0.813515843367953,0.6275025,0.9375896119577588,0.7589109347334555,0.5886567164179105,0.0,0.2
262,0.4122328230155409,0.4352656998131297,0.2071505,0.5239927589022699,0.3421263950661571,0.3726680343753846,0.0,0.0
269,0.0615268287405645,0.2632018414316326,0.037695937,0.0171323451388559,0.1011811179457148,0.08,0.0,0.4
272,0.8871946920206638,0.9282350189555204,0.81057423,0.6190276464274566,0.3932142132745654,0.6081595091581973,1.0,0.6
278,0.9345951685628294,0.9838086893483288,0.9559672,0.4203400529387497,0.7756899551505091,0.7496428571428573,0.0,0.4
290,0.4920092232253382,0.6315727074601825,0.34622052,0.7819563682755841,0.4138366463135591,0.4349846083583936,0.0,0.0
291,0.0703434038529499,0.1196515590333543,0.06271851,0.0229537630668142,0.1371903836338519,0.14,0.0,0.0
296,0.0182047863410916,0.030673203363787,0.044164415,0.0005177785004116,0.002863542602998,0.0613908450704225,0.0,0.2
307,0.7527673398217817,0.8752209956988282,0.57986295,0.9479399945469036,0.7322096376553769,0.5719844526309728,0.0,0.0
309,0.0183197073357248,0.0217337363779672,0.012156193,1.6096359971117009e-12,0.001150849148847,0.02,0.0,0.0
310,0.8519045351796249,0.9461051810505507,0.8747798,0.8841824868938054,0.5438872378733485,0.5220509519568001,0.0,0.0
316,0.131748023073512,0.2188371822562027,-0.06814365,0.207120339687498,0.0258569510582025,0.1323832461216327,0.0,0.4
324,0.9569119407970456,0.9808720670422568,0.9078901,0.944643490468464,0.8623894091947254,0.8063657616892911,1.0,0.6
326,0.0586683176807848,0.1329837243430883,0.088842906,0.0035500544809516,0.0289516802187165,0.1114285714285714,0.0,0.0
