id,predicted_cat
1.0,0.9626460109829036
6.0,0.16511728223280875
8.0,0.05748671842377739
10.0,0.2544351802396598
11.0,0.10827960445173059
14.0,0.06908538521010275
16.0,0.30065064419966925
17.0,0.3283203285543005
19.0,0.06853957465037586
20.0,0.12456132318783975
22.0,0.1719997284863454
28.0,0.42051417617419573
30.0,0.5134436480996821
33.0,0.34794439902773816
39.0,0.0738988353257778
42.0,0.14544339618040794
43.0,0.3696555439508976
46.0,0.9605505801393478
50.0,0.3067319917483566
51.0,0.14612380049805693
53.0,0.3820870784691216
61.0,0.07913025204950236
62.0,0.343360512883601
65.0,0.120292936585885
69.0,0.7720099824643923
70.0,0.02576222601591269
71.0,0.3133905696880167
72.0,0.05365811185274082
74.0,0.10104497760141982
81.0,0.06021691400982188
84.0,0.03634651438346328
85.0,0.25679058096833807
87.0,0.21558613306328536
94.0,0.05625195842025538
95.0,0.24693478851909872
97.0,0.7092987760793213
98.0,0.08132679623427225
99.0,0.22927864702362327
102.0,0.170927092100175
106.0,0.21017188269910408
115.0,0.9573144570510199
116.0,0.1753414936542565
117.0,0.31134772968463037
118.0,0.06610646317130824
119.0,0.1193452795154567
122.0,0.3777650882860461
126.0,0.07246991489686436
127.0,0.5699164559449342
130.0,0.20972363784129416
131.0,0.05371849486625665
132.0,0.274996420264817
133.0,0.05569984751794835
135.0,0.08057531009720359
139.0,0.2417603766287604
142.0,0.08908209973739739
145.0,0.8369301319642541
146.0,0.6521922806154371
147.0,0.12011493056312325
149.0,0.2891158211530299
156.0,0.2800202365407498
159.0,0.0077388707368567095
160.0,0.4838532899600353
161.0,0.7027987305505389
163.0,0.34102917130983523
169.0,0.008611090425261076
172.0,0.05276914632714563
174.0,0.5839087422193185
178.0,0.3433093099197481
180.0,0.33708920459518504
182.0,0.17465524758906145
185.0,0.3789794392213232
188.0,0.009730169636180428
191.0,0.5765066823811115
196.0,0.7030911985905344
197.0,0.7327671437955895
198.0,0.040786441846776406
202.0,0.4105924966470452
203.0,0.4116709243353268
205.0,0.2920583324195522
206.0,0.14454270021296217
207.0,0.3828852855929936
211.0,0.29920685748381026
213.0,0.08208925852959295
214.0,0.15695423208339002
215.0,0.044817628955718176
216.0,0.1943348770166619
218.0,0.27434984539130924
221.0,0.2662640488859538
226.0,0.9652523342070144
229.0,0.14673390209222026
230.0,0.27585773037612993
235.0,0.0843600483872776
236.0,0.292686732376766
238.0,0.27224052722295766
239.0,0.8838391717650224
241.0,0.21729420581840284
242.0,0.7730545396329778
244.0,0.32511601418998287
245.0,0.3320694417624728
249.0,0.12004437511512547
251.0,0.28038553470179395
253.0,0.056824538569077904
254.0,0.08791933540832883
255.0,0.31699085403448884
256.0,0.1568065293088276
261.0,0.23433766579341983
266.0,0.028446340373059015
267.0,0.07521173809551603
268.0,0.6420859085162767
271.0,0.5893392067302478
273.0,0.45965088440286356
274.0,0.15733255927719808
277.0,0.2530867661377413
279.0,0.08750376124741265
281.0,0.045537441044638485
284.0,0.2578003960534707
286.0,0.8723790688597183
294.0,0.2864638127353505
298.0,0.5790485736796815
300.0,0.43812990464044194
308.0,0.12353577383630733
313.0,0.17959634504365318
314.0,0.14682691592051722
317.0,0.9144050597841908
320.0,0.8849754582565619
321.0,0.25297942858020894
327.0,0.15935421951442869
329.0,0.6059714409357043
330.0,0.4677929863506474
337.0,0.012012172383392935
339.0,0.09347286855548595
340.0,0.19608319432743831
343.0,0.13802169978791332
344.0,0.25545664782474514
345.0,0.11935289918864278
347.0,0.48973413778575503
351.0,0.15182249442910636
352.0,0.4227981457882437
355.0,0.37518545523733193
356.0,0.43589206744047954
357.0,0.18256594065797926
358.0,0.008704382231313144
366.0,0.304507425366011
368.0,0.6310492451496027
372.0,0.3516155216485008
373.0,0.23850908061330728
