id,predicted_svc
1.0,1.0
6.0,0.0
8.0,0.0
10.0,0.0
11.0,0.0
14.0,0.0
16.0,0.0
17.0,0.0
19.0,0.0
20.0,0.0
22.0,0.0
28.0,0.0
30.0,0.0
33.0,1.0
39.0,0.0
42.0,0.0
43.0,0.0
46.0,1.0
50.0,0.0
51.0,0.0
53.0,0.0
61.0,0.0
62.0,0.0
65.0,0.0
69.0,1.0
70.0,0.0
71.0,0.0
72.0,0.0
74.0,0.0
81.0,0.0
84.0,0.0
85.0,0.0
87.0,0.0
94.0,0.0
95.0,0.0
97.0,1.0
98.0,0.0
99.0,0.0
102.0,0.0
106.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
122.0,0.0
126.0,0.0
127.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
135.0,0.0
139.0,0.0
142.0,0.0
145.0,1.0
146.0,0.0
147.0,0.0
149.0,0.0
156.0,0.0
159.0,0.0
160.0,0.0
161.0,0.0
163.0,0.0
169.0,0.0
172.0,0.0
174.0,0.0
178.0,0.0
180.0,0.0
182.0,0.0
185.0,0.0
188.0,0.0
191.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0
202.0,0.0
203.0,0.0
205.0,0.0
206.0,0.0
207.0,0.0
211.0,0.0
213.0,0.0
214.0,0.0
215.0,0.0
216.0,0.0
218.0,0.0
221.0,0.0
226.0,0.0
229.0,0.0
230.0,0.0
235.0,0.0
236.0,0.0
238.0,0.0
239.0,1.0
241.0,0.0
242.0,0.0
244.0,0.0
245.0,0.0
249.0,0.0
251.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
261.0,0.0
266.0,0.0
267.0,0.0
268.0,1.0
271.0,0.0
273.0,0.0
274.0,0.0
277.0,0.0
279.0,0.0
281.0,0.0
284.0,0.0
286.0,1.0
294.0,0.0
298.0,0.0
300.0,0.0
308.0,0.0
313.0,0.0
314.0,0.0
317.0,0.0
320.0,0.0
321.0,0.0
327.0,0.0
329.0,0.0
330.0,0.0
337.0,0.0
339.0,0.0
340.0,0.0
343.0,0.0
344.0,0.0
345.0,0.0
347.0,0.0
351.0,0.0
352.0,0.0
355.0,0.0
356.0,0.0
357.0,0.0
358.0,0.0
366.0,0.0
368.0,0.0
372.0,0.0
373.0,0.0
379.0,1.0
381.0,0.0
383.0,0.0
390.0,0.0
391.0,0.0
394.0,0.0
399.0,0.0
403.0,0.0
404.0,0.0
406.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
415.0,0.0
417.0,0.0
418.0,0.0
422.0,0.0
424.0,0.0
426.0,1.0
428.0,0.0
431.0,0.0
432.0,0.0
433.0,1.0
435.0,1.0
436.0,1.0
438.0,0.0
440.0,0.0
441.0,0.0
442.0,1.0
443.0,0.0
444.0,0.0
447.0,1.0
451.0,0.0
453.0,0.0
457.0,0.0
460.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
467.0,0.0
468.0,0.0
471.0,0.0
475.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
482.0,0.0
485.0,0.0
488.0,1.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
500.0,0.0
501.0,0.0
505.0,0.0
510.0,0.0
512.0,0.0
513.0,1.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
521.0,0.0
522.0,0.0
524.0,0.0
528.0,0.0
529.0,1.0
533.0,0.0
535.0,1.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
549.0,1.0
550.0,0.0
551.0,0.0
552.0,0.0
560.0,0.0
562.0,0.0
564.0,0.0
565.0,0.0
567.0,1.0
568.0,0.0
569.0,0.0
570.0,0.0
574.0,0.0
576.0,0.0
578.0,0.0
579.0,0.0
580.0,0.0
585.0,0.0
590.0,0.0
594.0,0.0
595.0,0.0
597.0,0.0
603.0,0.0
604.0,0.0
609.0,0.0
610.0,0.0
611.0,0.0
612.0,0.0
614.0,0.0
621.0,0.0
622.0,0.0
624.0,0.0
633.0,0.0
634.0,0.0
635.0,0.0
636.0,0.0
637.0,0.0
639.0,0.0
643.0,0.0
644.0,0.0
645.0,1.0
647.0,0.0
651.0,0.0
652.0,0.0
653.0,0.0
654.0,0.0
658.0,0.0
660.0,0.0
662.0,0.0
664.0,0.0
665.0,0.0
667.0,0.0
669.0,0.0
670.0,0.0
673.0,0.0
674.0,0.0
676.0,1.0
677.0,0.0
679.0,0.0
680.0,0.0
681.0,0.0
682.0,0.0
684.0,1.0
685.0,0.0
687.0,0.0
690.0,0.0
693.0,0.0
695.0,0.0
696.0,0.0
699.0,0.0
700.0,1.0
701.0,0.0
703.0,0.0
704.0,0.0
705.0,0.0
709.0,0.0
710.0,1.0
711.0,0.0
713.0,0.0
715.0,0.0
717.0,0.0
718.0,0.0
721.0,0.0
722.0,1.0
724.0,0.0
728.0,0.0
731.0,0.0
734.0,0.0
