id,predicted_knn
1.0,0.4
6.0,0.4
8.0,0.0
10.0,0.0
11.0,0.2
14.0,0.2
16.0,0.2
17.0,0.2
19.0,0.0
20.0,0.4
22.0,0.2
28.0,0.0
30.0,0.2
33.0,1.0
39.0,0.0
42.0,0.2
43.0,0.0
46.0,0.2
50.0,0.2
51.0,0.0
53.0,0.2
61.0,0.0
62.0,0.0
65.0,0.0
69.0,0.2
70.0,0.0
71.0,0.0
72.0,0.0
74.0,0.2
81.0,0.0
84.0,0.4
85.0,0.2
87.0,0.0
94.0,0.2
95.0,0.0
97.0,1.0
98.0,0.0
99.0,0.0
102.0,0.0
106.0,0.0
115.0,0.2
116.0,0.2
117.0,0.2
118.0,0.2
119.0,0.2
122.0,0.0
126.0,0.2
127.0,0.6
130.0,0.0
131.0,0.2
132.0,0.2
133.0,0.2
135.0,0.0
139.0,0.2
142.0,0.0
145.0,0.8
146.0,0.0
147.0,0.0
149.0,0.0
156.0,0.0
159.0,0.0
160.0,0.0
161.0,0.0
163.0,0.2
169.0,0.0
172.0,0.2
174.0,0.0
178.0,0.0
180.0,0.4
182.0,0.0
185.0,0.4
188.0,0.0
191.0,0.0
196.0,0.0
197.0,0.4
198.0,0.4
202.0,0.4
203.0,0.4
205.0,0.0
206.0,0.0
207.0,0.0
211.0,0.2
213.0,0.4
214.0,0.0
215.0,0.0
216.0,0.0
218.0,0.0
221.0,0.0
226.0,0.4
229.0,0.2
230.0,0.0
235.0,0.2
236.0,0.2
238.0,0.0
239.0,0.8
241.0,0.4
242.0,0.0
244.0,0.0
245.0,0.2
249.0,0.2
251.0,0.2
253.0,0.2
254.0,0.2
255.0,0.0
256.0,0.0
261.0,0.0
266.0,0.2
267.0,0.0
268.0,0.6
271.0,0.6
273.0,0.0
274.0,0.0
277.0,0.4
279.0,0.2
281.0,0.0
284.0,0.2
286.0,0.8
294.0,0.2
298.0,0.4
300.0,0.0
308.0,0.2
313.0,0.6
314.0,0.0
317.0,0.4
320.0,0.4
321.0,0.0
327.0,0.2
329.0,0.8
330.0,0.0
337.0,0.0
339.0,0.0
340.0,0.0
343.0,0.0
344.0,0.0
345.0,0.2
347.0,0.2
351.0,0.4
352.0,0.0
355.0,0.0
356.0,0.2
357.0,0.4
358.0,0.0
366.0,0.2
368.0,0.2
372.0,0.0
373.0,0.2
379.0,0.6
381.0,0.2
383.0,0.4
390.0,0.0
391.0,0.2
394.0,0.2
399.0,0.0
403.0,0.0
404.0,0.2
406.0,0.0
408.0,0.0
409.0,0.4
410.0,0.0
411.0,0.0
415.0,0.4
417.0,0.0
418.0,0.4
422.0,0.6
424.0,0.0
426.0,0.4
428.0,0.0
431.0,0.0
432.0,0.0
433.0,0.4
435.0,0.6
436.0,0.6
438.0,0.0
440.0,0.0
441.0,0.4
442.0,0.8
443.0,0.0
444.0,0.0
447.0,1.0
451.0,0.2
453.0,0.0
457.0,0.2
460.0,0.6
462.0,0.0
463.0,0.2
464.0,0.0
467.0,0.0
468.0,0.2
471.0,0.2
475.0,0.0
477.0,0.4
478.0,0.2
479.0,0.2
482.0,0.0
485.0,0.4
488.0,0.8
494.0,0.0
495.0,0.4
496.0,0.2
497.0,0.4
498.0,0.0
500.0,0.2
501.0,0.0
505.0,0.2
510.0,0.0
512.0,0.2
513.0,0.6
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.2
521.0,0.0
522.0,0.2
524.0,0.0
528.0,0.0
529.0,0.6
533.0,0.2
535.0,1.0
536.0,0.0
537.0,0.2
538.0,0.2
539.0,0.0
549.0,0.6
550.0,0.0
551.0,0.2
552.0,0.6
560.0,0.2
562.0,0.0
564.0,0.0
565.0,0.0
567.0,0.8
568.0,0.2
569.0,0.2
570.0,0.0
574.0,0.2
576.0,0.2
578.0,0.0
579.0,0.0
580.0,0.0
585.0,0.0
590.0,0.2
594.0,0.0
595.0,0.4
597.0,0.0
603.0,0.0
604.0,0.4
609.0,0.2
610.0,0.4
611.0,0.2
612.0,0.0
614.0,0.2
621.0,0.0
622.0,0.2
624.0,0.2
633.0,0.2
634.0,0.0
635.0,0.0
636.0,0.2
637.0,0.0
639.0,0.0
643.0,0.0
644.0,0.4
645.0,0.6
647.0,0.0
651.0,0.4
652.0,0.0
653.0,0.2
654.0,0.0
658.0,0.2
660.0,0.4
662.0,0.4
664.0,0.2
665.0,0.4
667.0,0.6
669.0,0.0
670.0,0.0
673.0,0.2
674.0,0.6
676.0,0.8
677.0,0.2
679.0,0.0
680.0,0.0
681.0,0.0
682.0,0.0
684.0,0.8
685.0,0.8
687.0,0.0
690.0,0.0
693.0,0.0
695.0,0.0
696.0,0.0
699.0,0.2
700.0,0.8
701.0,0.0
703.0,0.2
704.0,0.0
705.0,0.0
709.0,0.4
710.0,1.0
711.0,0.0
713.0,0.2
715.0,0.0
717.0,0.2
718.0,0.0
721.0,0.0
722.0,0.8
724.0,0.0
728.0,0.0
731.0,0.4
734.0,0.4
737.0,0.0
738.0,0.2
739.0,0.2
740.0,0.0
741.0,0.0
747.0,0.4
755.0,0.0
757.0,0.2
759.0,0.0
760.0,0.0
761.0,0.0
765.0,1.0
766.0,0.0
767.0,0.6
768.0,0.0
769.0,0.0
770.0,0.0
771.0,0.0
772.0,0.6
775.0,0.2
776.0,0.2
777.0,0.2
780.0,0.0
782.0,0.2
783.0,0.0
785.0,0.0
789.0,0.2
790.0,0.2
793.0,0.0
794.0,0.6
796.0,0.0
797.0,0.0
798.0,0.4
799.0,0.6
800.0,0.6
804.0,0.2
808.0,0.2
809.0,0.2
811.0,0.0
812.0,0.0
814.0,0.0
816.0,0.2
818.0,0.6
820.0,0.0
821.0,0.0
822.0,0.0
829.0,0.0
832.0,0.0
834.0,0.2
838.0,0.8
840.0,0.0
842.0,0.0
843.0,0.4
844.0,0.4
846.0,0.4
847.0,0.6
850.0,0.0
851.0,0.0
853.0,0.2
854.0,0.2
855.0,0.0
857.0,0.4
860.0,0.0
862.0,0.2
863.0,0.0
866.0,0.2
867.0,0.2
870.0,0.0
871.0,0.0
873.0,0.6
876.0,0.2
878.0,0.0
883.0,0.0
884.0,0.0
887.0,0.2
888.0,0.0
891.0,0.0
893.0,0.0
895.0,0.4
897.0,0.0
900.0,0.0
904.0,0.0
905.0,0.2
908.0,0.0
913.0,0.0
914.0,0.0
920.0,0.6
921.0,0.0
924.0,0.2
925.0,0.0
927.0,0.2
931.0,0.4
936.0,0.0
937.0,0.0
939.0,0.4
943.0,0.4
945.0,0.0
947.0,0.2
948.0,0.2
949.0,0.0
950.0,1.0
951.0,0.4
952.0,0.4
954.0,0.0
957.0,1.0
963.0,0.0
966.0,0.0
967.0,0.0
971.0,0.2
973.0,0.0
975.0,0.0
977.0,0.0
980.0,0.0
983.0,0.4
987.0,0.6
988.0,0.6
991.0,0.0
993.0,0.0
994.0,0.8
995.0,0.0
997.0,0.0
998.0,0.6
999.0,0.6
1001.0,0.8
1002.0,0.0
1005.0,0.8
1008.0,0.0
1009.0,0.2
1011.0,0.0
1014.0,0.2
1015.0,0.4
1016.0,0.0
1017.0,0.0
1018.0,0.2
1021.0,0.0
1032.0,0.0
1035.0,0.0
1036.0,0.0
1037.0,0.2
1038.0,0.4
1039.0,0.2
1040.0,0.0
1041.0,0.2
1043.0,0.8
1044.0,0.0
1049.0,0.0
1050.0,0.0
1055.0,0.8
1056.0,0.2
1058.0,0.0
1060.0,0.8
1064.0,0.0
1066.0,0.0
1067.0,0.4
1068.0,0.2
1071.0,0.0
1074.0,0.0
1077.0,0.0
1078.0,0.4
1079.0,0.0
1080.0,0.6
1087.0,0.4
1090.0,0.2
1095.0,0.2
1098.0,0.0
1099.0,0.2
1100.0,0.8
1102.0,0.0
1103.0,0.6
1104.0,0.2
1107.0,0.4
1109.0,0.4
1112.0,0.2
1113.0,0.0
1115.0,0.0
1117.0,0.4
1118.0,0.0
1121.0,0.4
1122.0,0.0
1123.0,0.2
1126.0,0.2
1129.0,0.6
1134.0,0.2
1138.0,0.2
1142.0,0.0
1143.0,0.2
1144.0,0.0
1147.0,0.2
1148.0,0.2
1150.0,0.0
1152.0,0.0
1153.0,0.2
1155.0,1.0
1156.0,0.0
1160.0,0.0
1161.0,0.2
1162.0,0.6
1163.0,0.0
1164.0,0.2
1165.0,0.4
1166.0,0.6
1167.0,0.0
1168.0,0.0
1169.0,0.4
1172.0,0.0
1178.0,0.2
1179.0,0.0
1182.0,0.0
1184.0,0.2
1185.0,0.2
1186.0,0.2
1191.0,0.2
1193.0,0.0
1198.0,0.0
1199.0,0.0
1200.0,0.6
1201.0,0.2
1202.0,0.0
1205.0,0.4
1210.0,0.2
1211.0,0.2
1218.0,0.0
1220.0,0.0
1224.0,0.0
1225.0,0.0
1226.0,0.6
1229.0,0.2
1233.0,0.0
1238.0,0.0
1240.0,0.2
1241.0,0.2
1245.0,0.0
1250.0,0.0
1252.0,0.4
1255.0,0.0
1265.0,0.6
1266.0,0.0
1269.0,0.6
1271.0,0.6
1277.0,0.6
1283.0,0.8
1289.0,0.8
1290.0,0.0
1292.0,0.0
1295.0,0.0
1297.0,0.2
1300.0,0.0
1303.0,0.0
1306.0,0.0
1307.0,0.2
1310.0,0.0
1311.0,0.0
1313.0,0.0
1315.0,0.0
1318.0,0.0
1319.0,0.0
1320.0,0.2
1321.0,0.0
1324.0,0.0
1326.0,0.4
1328.0,0.0
1335.0,0.0
1336.0,0.2
1338.0,0.0
1341.0,0.8
1345.0,0.2
1346.0,0.0
1347.0,0.4
1348.0,0.6
1352.0,0.0
1354.0,0.0
1355.0,0.4
1356.0,0.6
1360.0,0.4
1361.0,0.0
1363.0,0.0
1370.0,0.2
1371.0,0.2
1374.0,0.2
1379.0,0.0
1382.0,0.0
1383.0,0.0
1389.0,0.2
1390.0,0.8
1392.0,0.0
1394.0,0.4
1396.0,0.2
1398.0,0.0
1400.0,0.2
1401.0,0.4
1402.0,0.0
1405.0,0.4
1408.0,0.0
1409.0,0.2
1410.0,0.0
1411.0,0.4
1412.0,0.2
1415.0,0.4
1416.0,0.2
1417.0,0.0
