id,predicted_logreg
1.0,0.8494984311609107
6.0,0.2999145481816385
8.0,0.01840606214504104
10.0,0.11896898024424665
11.0,0.041909859468146536
14.0,0.04575997419568255
16.0,0.20995013401941576
17.0,0.08600736526909719
19.0,0.08635595249527304
20.0,0.025757974597620237
22.0,0.07984233120244699
28.0,0.19904882905964497
30.0,0.7218072259437034
33.0,0.13467248572616994
39.0,0.0036851064174370056
42.0,0.03330881734894601
43.0,0.0637915470267144
46.0,0.8329308269461628
50.0,0.2140736454654314
51.0,0.023623978048440186
53.0,0.07284275781777884
61.0,0.04993824450728084
62.0,0.07574422481525993
65.0,0.016372026087669946
69.0,0.5571178028092938
70.0,0.034008170639633205
71.0,0.0950548893746665
72.0,0.0025189935934276228
74.0,0.08822720141206616
81.0,0.05234470271347579
84.0,0.08794600616775647
85.0,0.052066868047444495
87.0,0.03239423897846661
94.0,0.03429344005703744
95.0,0.12930919971546662
97.0,0.6473133547278959
98.0,0.06256097786330896
99.0,0.09371402305935406
102.0,0.1629379308927896
106.0,0.115787275888578
115.0,0.7065715985461798
116.0,0.02643238382394862
117.0,0.05854818060840596
118.0,0.07708666313177436
119.0,0.28977579474632287
122.0,0.11417174596248306
126.0,0.011892398787047663
127.0,0.2307653177838623
130.0,0.08098655010532221
131.0,0.013822904391143512
132.0,0.1892953592468718
133.0,0.05146138960223342
135.0,0.11568784821474158
139.0,0.14677462273481892
142.0,0.06500207055896513
145.0,0.7795419766111101
146.0,0.6056230120204236
147.0,0.23660798880649964
149.0,0.015880839699354762
156.0,0.04898967749310729
159.0,0.0009911446730673779
160.0,0.2691308936795071
161.0,0.5733710646968889
163.0,0.08123616968549852
169.0,0.004274155057008416
172.0,0.09304900908020544
174.0,0.11143334232101139
178.0,0.1789204114529265
180.0,0.0402550900445344
182.0,0.0689874845233095
185.0,0.03551463785839768
188.0,0.008720871692441382
191.0,0.3941238262721408
196.0,0.7953591138481073
197.0,0.17986474196383387
198.0,0.06037769089512674
202.0,0.3618144803149948
203.0,0.15715518985756852
205.0,0.062139013408423226
206.0,0.11218876350867085
207.0,0.158893939197312
211.0,0.09139530392162462
213.0,0.1310588864250457
214.0,0.1776442539259619
215.0,0.07331505894260391
216.0,0.0734681857950294
218.0,0.19622145176714653
221.0,0.1581818107691388
226.0,0.7223668399193588
